ID,strategy,initial_size,batch_size,iterations,test_ssize,seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,score_metric,score,max_value,min_value,last_value,avg_last10,std_last10,avg_last5,std_last5,final_accuracy,final_auc,precision,recall,f1,fnr,total_labeled,sim_calls,sim_time_sec_measured,runtime_wall_sec
d3e3fbc3,entropy,100,50,20,0.1,42,200,20.0,4,2,balanced_subsample,accuracy,0.7405793827685743,0.9327251995438997,0.8939566704675028,0.9293044469783353,0.9205245153933864,0.009702858106957703,0.9267958950969213,0.002325664544398114,0.9293044469783353,0.981410316493267,0.9328248135193224,0.9278439091448744,0.928913955215295,0.07215609085512564,1050,1100,4518.296737198951,4536.522641199874
64cb54da,entropy,120,200,10,0.1,1337,1500,28.0,2,1,balanced,accuracy,0.7386350163080211,0.935005701254276,0.8768529076396807,0.9144811858608894,0.9144811858608893,0.016060950386918158,0.9258836944127709,0.007318953950230878,0.9144811858608894,0.9825741244102852,0.9200384896777682,0.9125581903958508,0.9138340977241196,0.08744180960414916,1920,2120,6257.593928699382,6296.87878239993
1eea5608,entropy,120,200,10,0.1,42,1500,28.0,2,1,balanced,accuracy,0.7325540652851844,0.928164196123147,0.8449258836944128,0.9236031927023944,0.9106043329532497,0.02354666331182014,0.9206385404789053,0.00561392639684891,0.9236031927023944,0.982907384842899,0.9268704259464012,0.922175878193312,0.9231941628661772,0.07782412180668796,1920,2120,6037.007170600118,6074.618071499979
f98a6c64,entropy,150,100,20,0.1,42,800,40.0,2,1,balanced_subsample,accuracy,0.7406152338396952,0.9327251995438997,0.8654503990877993,0.9122006841505133,0.918928164196123,0.007129075955457471,0.9133409350057013,0.004079485477764724,0.9122006841505133,0.9817956488684768,0.9181769439843716,0.9101941242019976,0.9115006323349212,0.08980587579800237,2050,2150,6326.351942998357,6380.043364400044
03668e50,entropy,150,150,12,0.1,42,1200,30.0,2,1,balanced_subsample,accuracy,0.745339350681349,0.9407069555302168,0.8996579247434435,0.9224629418472065,0.9236031927023947,0.010475424472388466,0.9220068415051312,0.007549804039793311,0.9224629418472065,0.9794602222430512,0.927496084158835,0.9206709990522908,0.9219219691018592,0.07932900094770923,1800,1950,13283.23242730042,13369.367282999912
8a4a9308,entropy,200,125,16,0.1,42,1000,35.0,2,1,balanced_subsample,accuracy,0.7428013143577569,0.9338654503990876,0.8802736602052451,0.919042189281642,0.9234891676168757,0.005890805634248315,0.9217787913340935,0.006749668682758776,0.919042189281642,0.9834228970745984,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,2075,2200,12186.760471701156,12281.237474600086
4fc42eff,entropy,200,50,30,0.1,42,600,30.0,4,2,balanced_subsample,accuracy,0.7435545190936337,0.936145952109464,0.8848346636259977,0.9156214367160777,0.9207525655644242,0.003721133152127856,0.919042189281642,0.0022805017103762594,0.9156214367160777,0.9828475021089136,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,1650,1700,8270.223752397345,8357.824809300015
cca0f9e0,entropy,200,75,24,0.1,42,800,25.0,2,1,balanced_subsample,accuracy,0.7413890076137476,0.9338654503990876,0.8802736602052451,0.9133409350057012,0.918472063854048,0.005426683710052807,0.914709236031927,0.0022110284412389636,0.9133409350057012,0.9823163682944356,0.921670139445424,0.910972599743806,0.9124796470402856,0.08902740025619404,1925,2000,11248.159023490036,11358.933348099934
af28c047,entropy,220,60,36,0.1,1337,700,18.0,2,3,balanced_subsample,accuracy,0.7380839402213012,0.928164196123147,0.903078677309008,0.9133409350057012,0.9148232611174458,0.0022256808775305958,0.9140250855188141,0.0019880952992204293,0.9133409350057012,0.9842222013934452,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,2320,2380,7086.070340808248,7175.338614299893
2425fdd4,entropy,220,60,36,0.1,42,700,18.0,2,3,balanced_subsample,accuracy,0.7440736881577489,0.9384264538198404,0.8916761687571265,0.9247434435575826,0.9185860889395668,0.0035768271702070723,0.9181299885974916,0.003634521653479843,0.9247434435575826,0.9833317711750555,0.93026724311494,0.9228736422240968,0.9241890022842054,0.07712635777590315,2320,2380,7146.320802798262,7236.410657000029
1a4bfc10,entropy,250,50,40,0.1,42,600,20.0,2,2,balanced_subsample,accuracy,0.7423974339357304,0.935005701254276,0.8882554161915621,0.9213226909920182,0.918472063854048,0.0032351792381096686,0.9179019384264538,0.0028846318450794534,0.9213226909920182,0.9852063611085076,0.9274881088886058,0.9193275429333168,0.920695371832592,0.08067245706668325,2200,2250,9709.42176760058,9824.30554319988
63023805,entropy,300,100,20,0.1,42,1000,,2,1,balanced_subsample,accuracy,0.740818133690717,0.9315849486887116,0.8836944127708096,0.9156214367160777,0.9204104903078678,0.005487438729995842,0.9163055872291904,0.0031927023945268096,0.9156214367160777,0.9828995740515096,0.9219096945551128,0.9135788004707304,0.9149311563427396,0.08642119952926963,2200,2300,9899.87459599576,10007.6595524
2f23fa11,entropy,300,75,24,0.1,42,800,25.0,2,2,balanced_subsample,accuracy,0.7429127317150642,0.9338654503990876,0.8825541619156214,0.9156214367160777,0.9226909920182441,0.004136455449764403,0.9220068415051312,0.0034283458103472613,0.9156214367160777,0.9860915841326376,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,2025,2100,14364.140875797952,14489.925375399878
facdede9,entropy,350,120,18,0.1,1337,900,24.0,2,1,balanced_subsample,accuracy,0.7313442573373163,0.919042189281642,0.8768529076396807,0.9133409350057012,0.9095781071835802,0.005251347292893762,0.9124287343215507,0.0037749020198967432,0.9133409350057012,0.9833656179377428,0.9195803452855246,0.9112954457879006,0.9126319984060568,0.08870455421209944,2390,2510,7830.638064097846,7890.269153400091
0b720896,entropy,350,120,18,0.1,42,900,24.0,2,1,balanced_subsample,accuracy,0.7366421698449742,0.9236031927023944,0.8916761687571265,0.9110604332953248,0.9184720638540478,0.0035052283121868606,0.9165336374002282,0.0034884968165971642,0.9110604332953248,0.9844773539121652,0.9198951198630136,0.9086085335499526,0.9101349434057444,0.09139146645004737,2390,2510,7719.213409799384,7777.099501600023
1182eeba,entropy,400,100,16,0.1,42,1200,,2,1,balanced_subsample,accuracy,0.7313939154770073,0.919042189281642,0.8916761687571265,0.9133409350057012,0.9111744583808438,0.007397583390334614,0.9144811858608894,0.00607658499177845,0.9133409350057012,0.985328730173608,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,1900,2000,8009.605604409473,8094.028223000001
2ca2b8b9,entropy,400,80,22,0.1,1337,1100,,2,2,balanced,accuracy,0.7456152279190305,0.9395667046750285,0.8939566704675028,0.9224629418472065,0.9236031927023944,0.006245411146010991,0.920866590649943,0.0019880952992203634,0.9224629418472065,0.9842326157819644,0.9294039108047152,0.920348153008196,0.921795826732829,0.07965184699180405,2080,2160,11244.212147704093,11357.625233600147
48cfb3c0,entropy,400,80,22,0.1,42,1100,,2,2,balanced,accuracy,0.7323618929662065,0.92018244013683,0.8962371721778791,0.9099201824401368,0.9119726339794754,0.006605586480255531,0.9140250855188142,0.004362856663559672,0.9099201824401368,0.9827017006696452,0.9163282338057218,0.907830058008144,0.9091643296636158,0.09216994199185602,2080,2160,11006.748100499624,11128.59499389981
5b50c314,entropy,500,50,20,0.1,42,1000,20.0,2,2,balanced_subsample,accuracy,0.7385779026960694,0.927023945267959,0.9064994298745724,0.919042189281642,0.92018244013683,0.004944009894795652,0.919042189281642,0.0064097921653616,0.919042189281642,0.983982670457504,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,1450,1500,6979.067944700597,7073.870153900003
cf1ba653,margin,100,50,20,0.1,42,200,20.0,4,2,balanced_subsample,accuracy,0.7405793827685743,0.9327251995438997,0.8939566704675028,0.9293044469783353,0.9205245153933864,0.009702858106957703,0.9267958950969213,0.002325664544398114,0.9293044469783353,0.981410316493267,0.9328248135193224,0.9278439091448744,0.928913955215295,0.07215609085512564,1050,1100,7013.767274497543,7043.21271800017
b76fd57e,margin,120,200,10,0.1,1337,1500,28.0,2,1,balanced,accuracy,0.7386350163080211,0.935005701254276,0.8768529076396807,0.9144811858608894,0.9144811858608893,0.016060950386918158,0.9258836944127709,0.007318953950230878,0.9144811858608894,0.9825741244102852,0.9200384896777682,0.9125581903958508,0.9138340977241196,0.08744180960414916,1920,2120,6235.735985901207,6273.524771500146
b15b7640,margin,120,200,10,0.1,42,1500,28.0,2,1,balanced,accuracy,0.7325540652851844,0.928164196123147,0.8449258836944128,0.9236031927023944,0.9106043329532497,0.02354666331182014,0.9206385404789053,0.00561392639684891,0.9236031927023944,0.982907384842899,0.9268704259464012,0.922175878193312,0.9231941628661772,0.07782412180668796,1920,2120,6030.64410290285,6068.663162600016
d6d0b602,margin,150,100,20,0.1,42,800,40.0,2,1,balanced_subsample,accuracy,0.7406152338396952,0.9327251995438997,0.8654503990877993,0.9122006841505133,0.918928164196123,0.007129075955457471,0.9133409350057013,0.004079485477764724,0.9122006841505133,0.9817956488684768,0.9181769439843716,0.9101941242019976,0.9115006323349212,0.08980587579800237,2050,2150,6271.141224903287,6324.562185999937
189eaeee,margin,150,150,12,0.1,42,1200,30.0,2,1,balanced_subsample,accuracy,0.745339350681349,0.9407069555302168,0.8996579247434435,0.9224629418472065,0.9236031927023947,0.010475424472388466,0.9220068415051312,0.007549804039793311,0.9224629418472065,0.9794602222430512,0.927496084158835,0.9206709990522908,0.9219219691018592,0.07932900094770923,1800,1950,13260.081464593532,13347.759185400091
26c325ac,margin,200,125,16,0.1,42,1000,35.0,2,1,balanced_subsample,accuracy,0.7428013143577569,0.9338654503990876,0.8802736602052451,0.919042189281642,0.9234891676168757,0.005890805634248315,0.9217787913340935,0.006749668682758776,0.919042189281642,0.9834228970745984,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,2075,2200,12217.035176294625,12308.318033599991
f689e7dc,margin,200,50,30,0.1,42,600,30.0,4,2,balanced_subsample,accuracy,0.7435545190936337,0.936145952109464,0.8848346636259977,0.9156214367160777,0.9207525655644242,0.003721133152127856,0.919042189281642,0.0022805017103762594,0.9156214367160777,0.9828475021089136,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,1650,1700,6104.15272409888,6174.6626935999375
15690565,margin,200,75,24,0.1,42,800,25.0,2,1,balanced_subsample,accuracy,0.7413890076137476,0.9338654503990876,0.8802736602052451,0.9133409350057012,0.918472063854048,0.005426683710052807,0.914709236031927,0.0022110284412389636,0.9133409350057012,0.9823163682944356,0.921670139445424,0.910972599743806,0.9124796470402856,0.08902740025619404,1925,2000,11251.1612599995,11358.945259599946
588dfa06,margin,220,60,36,0.1,1337,700,18.0,2,3,balanced_subsample,accuracy,0.7380839402213012,0.928164196123147,0.903078677309008,0.9133409350057012,0.9148232611174458,0.0022256808775305958,0.9140250855188141,0.0019880952992204293,0.9133409350057012,0.9842222013934452,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,2320,2380,7046.904508701293,7139.040094400058
3cf724cb,margin,220,60,36,0.1,42,700,18.0,2,3,balanced_subsample,accuracy,0.7440736881577489,0.9384264538198404,0.8916761687571265,0.9247434435575826,0.9185860889395668,0.0035768271702070723,0.9181299885974916,0.003634521653479843,0.9247434435575826,0.9833317711750555,0.93026724311494,0.9228736422240968,0.9241890022842054,0.07712635777590315,2320,2380,7099.193619800033,7190.251039299881
b95225ad,margin,250,50,40,0.1,42,600,20.0,2,2,balanced_subsample,accuracy,0.7423974339357304,0.935005701254276,0.8882554161915621,0.9213226909920182,0.918472063854048,0.0032351792381096686,0.9179019384264538,0.0028846318450794534,0.9213226909920182,0.9852063611085076,0.9274881088886058,0.9193275429333168,0.920695371832592,0.08067245706668325,2200,2250,9725.569937796332,9838.20358500001
825a9850,margin,300,100,20,0.1,42,1000,,2,1,balanced_subsample,accuracy,0.740818133690717,0.9315849486887116,0.8836944127708096,0.9156214367160777,0.9204104903078678,0.005487438729995842,0.9163055872291904,0.0031927023945268096,0.9156214367160777,0.9828995740515096,0.9219096945551128,0.9135788004707304,0.9149311563427396,0.08642119952926963,2200,2300,9945.98073520395,10052.943485100055
038b23d5,margin,300,75,24,0.1,42,800,25.0,2,2,balanced_subsample,accuracy,0.7429127317150642,0.9338654503990876,0.8825541619156214,0.9156214367160777,0.9226909920182441,0.004136455449764403,0.9220068415051312,0.0034283458103472613,0.9156214367160777,0.9860915841326376,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,2025,2100,14292.043570499867,14413.177310900064
16dad444,margin,350,120,18,0.1,1337,900,24.0,2,1,balanced_subsample,accuracy,0.7313442573373163,0.919042189281642,0.8768529076396807,0.9133409350057012,0.9095781071835802,0.005251347292893762,0.9124287343215507,0.0037749020198967432,0.9133409350057012,0.9833656179377428,0.9195803452855246,0.9112954457879006,0.9126319984060568,0.08870455421209944,2390,2510,7411.590917788912,7468.7345728999935
af82b49c,margin,350,120,18,0.1,42,900,24.0,2,1,balanced_subsample,accuracy,0.7366421698449742,0.9236031927023944,0.8916761687571265,0.9110604332953248,0.9184720638540478,0.0035052283121868606,0.9165336374002282,0.0034884968165971642,0.9110604332953248,0.9844773539121652,0.9198951198630136,0.9086085335499526,0.9101349434057444,0.09139146645004737,2390,2510,7324.3602646980435,7381.911956200143
28dab9f0,margin,400,100,16,0.1,42,1200,,2,1,balanced_subsample,accuracy,0.7313939154770073,0.919042189281642,0.8916761687571265,0.9133409350057012,0.9111744583808438,0.007397583390334614,0.9144811858608894,0.00607658499177845,0.9133409350057012,0.985328730173608,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,1900,2000,7835.131374204066,7914.528786800103
030cbc3a,margin,400,80,22,0.1,1337,1100,,2,2,balanced,accuracy,0.7456152279190305,0.9395667046750285,0.8939566704675028,0.9224629418472065,0.9236031927023944,0.006245411146010991,0.920866590649943,0.0019880952992203634,0.9224629418472065,0.9842326157819644,0.9294039108047152,0.920348153008196,0.921795826732829,0.07965184699180405,2080,2160,6628.658070301637,6698.263564599911
98e9f4d1,margin,400,80,22,0.1,42,1100,,2,2,balanced,accuracy,0.7323618929662065,0.92018244013683,0.8962371721778791,0.9099201824401368,0.9119726339794754,0.006605586480255531,0.9140250855188142,0.004362856663559672,0.9099201824401368,0.9827017006696452,0.9163282338057218,0.907830058008144,0.9091643296636158,0.09216994199185602,2080,2160,6957.96808659751,7028.201422599843
f27dade9,margin,500,50,20,0.1,42,1000,20.0,2,2,balanced_subsample,accuracy,0.7385779026960694,0.927023945267959,0.9064994298745724,0.919042189281642,0.92018244013683,0.004944009894795652,0.919042189281642,0.0064097921653616,0.919042189281642,0.983982670457504,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,1450,1500,7006.251230400987,7101.2047598999925
