ID,strategy,initial_size,batch_size,iterations,test_ssize,seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,score_metric,score,max_value,min_value,last_value,avg_last10,std_last10,avg_last5,std_last5,final_accuracy,final_auc,precision,recall,f1,fnr,total_labeled,sim_calls,sim_time_sec_measured,runtime_wall_sec
d404ecb9,random,100,50,20,0.1,42,200,20.0,4,2,balanced_subsample,accuracy,0.724321550741163,0.9110604332953248,0.8677309007981756,0.8996579247434435,0.8972633979475486,0.0019384264538198435,0.8978335233751427,0.0011628322721990408,0.8996579247434435,0.9682829797648432,0.9065712794178752,0.8974338946688745,0.8987510495382032,0.10256610533112553,1050,1100,5101.074853899423,5118.14442440006
be5abf1a,random,120,200,10,0.1,1337,1500,28.0,2,1,balanced,accuracy,0.7318700114025086,0.9213226909920182,0.8916761687571265,0.9213226909920182,0.910490307867731,0.00969213226909919,0.919042189281642,0.0019080046215144296,0.9213226909920182,0.9785411524562336,0.9233012662477312,0.9202153695545764,0.9210005835562466,0.07978463044542361,1920,2120,6422.883280204376,6454.895322900033
e2efbd42,random,120,200,10,0.1,42,1500,28.0,2,1,balanced,accuracy,0.7399851422143873,0.9327251995438997,0.8985176738882554,0.928164196123147,0.9190421892816418,0.01045057171027557,0.9265678449258836,0.004975467327085836,0.928164196123147,0.9842951021130794,0.9339870216623724,0.9262583184928296,0.9276206420882608,0.07374168150717042,1920,2120,6322.809326106682,6354.428890000097
9af16b1b,random,150,100,20,0.1,42,800,40.0,2,1,balanced_subsample,accuracy,0.7502407794502357,0.9418472063854048,0.9007981755986316,0.9315849486887116,0.9343215507411632,0.004896444824078444,0.934321550741163,0.0031101896686399335,0.9315849486887116,0.9800382208058654,0.934428427228566,0.9302886868497516,0.9312523516869436,0.06971131315024837,2050,2150,6534.802088696044,6584.665148800006
e4b41d3b,random,150,150,12,0.1,42,1200,30.0,2,1,balanced_subsample,accuracy,0.732755473097911,0.919042189281642,0.8996579247434435,0.9076396807297604,0.9127708095781071,0.002984322081710986,0.912884834663626,0.0037886539853675006,0.9076396807297604,0.9699310567480032,0.9085741478669218,0.9068380875016924,0.9073621752029472,0.09316191249830763,1800,1950,12637.802057392895,12711.197978499811
3cedf652,random,200,125,16,0.1,42,1000,35.0,2,1,balanced_subsample,accuracy,0.7374782241184042,0.9247434435575826,0.8802736602052451,0.919042189281642,0.918928164196123,0.0028597345961196047,0.9174458380843786,0.002234426219186527,0.919042189281642,0.9795227085741662,0.922989457910788,0.9174477458056052,0.9185525274524038,0.08255225419439483,2075,2200,12627.957008007448,12711.088330000171
5a76e88b,random,200,50,30,0.1,42,600,30.0,4,2,balanced_subsample,accuracy,0.7228104968290069,0.9087799315849489,0.8836944127708096,0.8985176738882554,0.8984036488027366,0.005502818021443007,0.9021664766248575,0.005463693751749651,0.8985176738882554,0.9713552243780006,0.9011545339785398,0.8971396881932077,0.8980079316855811,0.10286031180679234,1650,1700,5096.906244095182,5148.654534700094
90202c20,random,200,75,24,0.1,42,800,25.0,2,1,balanced_subsample,accuracy,0.731440847460273,0.919042189281642,0.879133409350057,0.9122006841505133,0.9110604332953249,0.0069918858457267774,0.9151653363740024,0.0023479202145922527,0.9122006841505133,0.9781740452609324,0.9168438309799568,0.9104362587350684,0.9116048930224034,0.0895637412649316,1925,2000,11658.13163829944,11758.337630900089
d815eef9,random,220,60,36,0.1,1337,700,18.0,2,3,balanced_subsample,accuracy,0.7246642926311666,0.9099201824401368,0.8836944127708096,0.9076396807297604,0.9019384264538198,0.0043866326252385845,0.9053591790193842,0.0023918103721097574,0.9076396807297604,0.9744951625165328,0.9135213615322546,0.905627414836338,0.906903262586086,0.09437258516366198,2320,2380,7435.974670598283,7519.179777699988
a2b863f6,random,220,60,36,0.1,42,700,18.0,2,3,balanced_subsample,accuracy,0.7416847656496895,0.9315849486887116,0.8859749144811858,0.927023945267959,0.9223489167616876,0.004061918615862467,0.9258836944127709,0.0022805017103762703,0.927023945267959,0.9772289395028172,0.9271843394849336,0.9266905156163756,0.9268938209857248,0.07330948438362439,2320,2380,7381.182724998565,7462.697467400227
56092ad3,random,250,50,40,0.1,42,600,20.0,2,2,balanced_subsample,accuracy,0.7420264861108525,0.9304446978335232,0.8882554161915621,0.9224629418472065,0.925085518814139,0.0036075922507540115,0.9231470923603193,0.002848345723328833,0.9224629418472065,0.9779631538934191,0.9279439658369626,0.920590287541267,0.9218916993231208,0.07940971245873296,2200,2250,9906.770190693904,10008.138374400092
bc3dd796,random,300,100,20,0.1,42,1000,,2,1,balanced_subsample,accuracy,0.7379622868669611,0.9304446978335232,0.8836944127708096,0.9076396807297604,0.9109464082098062,0.002719922563711907,0.9092360319270238,0.0018526883476934456,0.9076396807297604,0.9767212380625072,0.91666398903241,0.9051431457701962,0.9066566451475568,0.09485685422980383,2200,2300,10778.537914802087,10870.52874019998
f5b941dd,random,300,75,24,0.1,42,800,25.0,2,2,balanced_subsample,accuracy,0.7356526317826283,0.9224629418472065,0.8825541619156214,0.92018244013683,0.9173318129988599,0.0038919152031643756,0.9199543899657925,0.0015127137014163744,0.92018244013683,0.983248456066902,0.9275939401041944,0.9179840868143428,0.9194610621326617,0.08201591318565715,2025,2100,13966.5944381007,14069.316640099976
55b12455,random,350,120,18,0.1,1337,900,24.0,2,1,balanced_subsample,accuracy,0.7319998520407283,0.92018244013683,0.8882554161915621,0.9076396807297604,0.9093500570125427,0.004481925657248226,0.9064994298745723,0.002039742738882356,0.9076396807297604,0.972834067547724,0.9107092086558206,0.9061923954135034,0.9071451819725423,0.09380760458649662,2390,2510,7736.421059001004,7786.216051799944
0f1f3408,random,350,120,18,0.1,42,900,24.0,2,1,balanced_subsample,accuracy,0.7367638271098134,0.928164196123147,0.8916761687571265,0.9053591790193842,0.9137970353477766,0.007286907780465468,0.9090079817559863,0.0036345216534798847,0.9053591790193842,0.9754584934545568,0.9111935703061962,0.903344060153508,0.9046045777116684,0.09665593984649201,2390,2510,7455.858745707665,7506.285342099844
4fd688ef,random,400,100,16,0.1,42,1200,,2,1,balanced_subsample,accuracy,0.7318975067392807,0.9179019384264538,0.8939566704675028,0.9087799315849489,0.9127708095781071,0.004423526736891865,0.9149372862029648,0.0032731357113813062,0.9087799315849489,0.9786218639672573,0.9131615944863162,0.9070515824663354,0.9081781156097204,0.09294841753366456,1900,2000,8646.133769699838,8721.530571700074
f4503d2f,random,400,80,22,0.1,1337,1100,,2,2,balanced,accuracy,0.7383124287343216,0.9258836944127709,0.8939566704675028,0.9236031927023944,0.92018244013683,0.0034207525655643852,0.9220068415051312,0.0032731357113813093,0.9236031927023944,0.9799470949063224,0.927616791363718,0.9220144551712646,0.9231411174550852,0.07798554482873543,2080,2160,6353.8314840043895,6410.368529299973
4ebc7e8b,random,400,80,22,0.1,42,1100,,2,2,balanced,accuracy,0.7389291486363786,0.927023945267959,0.9087799315849489,0.92018244013683,0.9191562143671608,0.001648441538745843,0.9185860889395668,0.0011628322721990451,0.92018244013683,0.9798117078555733,0.9235850646887774,0.9187104904135556,0.9197415623398492,0.08128950958644443,2080,2160,6560.445656601572,6616.701610000106
1816afac,random,500,50,20,0.1,42,1000,20.0,2,2,balanced_subsample,accuracy,0.7431857479661346,0.9315849486887116,0.9099201824401368,0.928164196123147,0.927023945267959,0.0035695497930441204,0.9297605473204105,0.0013683010262257747,0.928164196123147,0.9789577279970006,0.929670070699136,0.9272268566251132,0.9279107544769548,0.07277314337488683,1450,1500,6707.602163801203,6792.875085100066
ce082fde,uncertainty,100,50,20,0.1,42,200,20.0,4,2,balanced_subsample,accuracy,0.7405793827685743,0.9327251995438997,0.8939566704675028,0.9293044469783353,0.9205245153933864,0.009702858106957703,0.9267958950969213,0.002325664544398114,0.9293044469783353,0.981410316493267,0.9328248135193224,0.9278439091448744,0.928913955215295,0.07215609085512564,1050,1100,3646.6908049969934,3661.7211201000023
7f503d53,uncertainty,100,50,2,0.1,42,100,20.0,4,2,balanced_subsample,accuracy,0.7219498289623716,0.904218928164196,0.8985176738882554,0.904218928164196,0.9013683010262257,0.0028506271379702963,0.9013683010262257,0.0028506271379702963,0.904218928164196,0.9675175222086834,0.9140281088277608,0.901597046479416,0.9031296023564064,0.09840295352058404,150,200,364.27374180126935,364.6810870000627
9f24e64f,uncertainty,120,200,10,0.1,1337,1500,28.0,2,1,balanced,accuracy,0.7386350163080211,0.935005701254276,0.8768529076396807,0.9144811858608894,0.9144811858608893,0.016060950386918158,0.9258836944127709,0.007318953950230878,0.9144811858608894,0.9825741244102852,0.9200384896777682,0.9125581903958508,0.9138340977241196,0.08744180960414916,1920,2120,6255.919743989827,6293.8778746000025
dd7cf31d,uncertainty,120,200,10,0.1,42,1500,28.0,2,1,balanced,accuracy,0.7325540652851844,0.928164196123147,0.8449258836944128,0.9236031927023944,0.9106043329532497,0.02354666331182014,0.9206385404789053,0.00561392639684891,0.9236031927023944,0.982907384842899,0.9268704259464012,0.922175878193312,0.9231941628661772,0.07782412180668796,1920,2120,6058.321523398161,6097.889469200047
a9ca0fce,uncertainty,150,100,20,0.1,42,800,40.0,2,1,balanced_subsample,accuracy,0.7406152338396952,0.9327251995438997,0.8654503990877993,0.9122006841505133,0.918928164196123,0.007129075955457471,0.9133409350057013,0.004079485477764724,0.9122006841505133,0.9817956488684768,0.9181769439843716,0.9101941242019976,0.9115006323349212,0.08980587579800237,2050,2150,6274.006028306205,6327.773247699952
b61572b7,uncertainty,150,150,12,0.1,42,1200,30.0,2,1,balanced_subsample,accuracy,0.745339350681349,0.9407069555302168,0.8996579247434435,0.9224629418472065,0.9236031927023947,0.010475424472388466,0.9220068415051312,0.007549804039793311,0.9224629418472065,0.9794602222430512,0.927496084158835,0.9206709990522908,0.9219219691018592,0.07932900094770923,1800,1950,13315.71530379937,13403.527175299823
6fac2f54,uncertainty,200,125,16,0.1,42,1000,35.0,2,1,balanced_subsample,accuracy,0.7428013143577569,0.9338654503990876,0.8802736602052451,0.919042189281642,0.9234891676168757,0.005890805634248315,0.9217787913340935,0.006749668682758776,0.919042189281642,0.9834228970745984,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,2075,2200,12292.00692679244,12385.732417799998
94612ea5,uncertainty,200,50,30,0.1,42,600,30.0,4,2,balanced_subsample,accuracy,0.7435545190936337,0.936145952109464,0.8848346636259977,0.9156214367160777,0.9207525655644242,0.003721133152127856,0.919042189281642,0.0022805017103762594,0.9156214367160777,0.9828475021089136,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,1650,1700,12198.19576589414,12317.774423500055
53d794be,uncertainty,200,75,24,0.1,42,800,25.0,2,1,balanced_subsample,accuracy,0.7413890076137476,0.9338654503990876,0.8802736602052451,0.9133409350057012,0.918472063854048,0.005426683710052807,0.914709236031927,0.0022110284412389636,0.9133409350057012,0.9823163682944356,0.921670139445424,0.910972599743806,0.9124796470402856,0.08902740025619404,1925,2000,11309.818880303765,11419.53897470003
84203764,uncertainty,220,60,36,0.1,1337,700,18.0,2,3,balanced_subsample,accuracy,0.7380839402213012,0.928164196123147,0.903078677309008,0.9133409350057012,0.9148232611174458,0.0022256808775305958,0.9140250855188141,0.0019880952992204293,0.9133409350057012,0.9842222013934452,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,2320,2380,7097.852542983601,7188.207247199956
de7f5bf7,uncertainty,220,60,36,0.1,42,700,18.0,2,3,balanced_subsample,accuracy,0.7440736881577489,0.9384264538198404,0.8916761687571265,0.9247434435575826,0.9185860889395668,0.0035768271702070723,0.9181299885974916,0.003634521653479843,0.9247434435575826,0.9833317711750555,0.93026724311494,0.9228736422240968,0.9241890022842054,0.07712635777590315,2320,2380,7122.450952903368,7213.345992899965
14f25db5,uncertainty,250,50,40,0.1,42,600,20.0,2,2,balanced_subsample,accuracy,0.7423974339357304,0.935005701254276,0.8882554161915621,0.9213226909920182,0.918472063854048,0.0032351792381096686,0.9179019384264538,0.0028846318450794534,0.9213226909920182,0.9852063611085076,0.9274881088886058,0.9193275429333168,0.920695371832592,0.08067245706668325,2200,2250,9671.08694150322,9786.382173900029
fe4686a5,uncertainty,300,100,20,0.1,42,1000,,2,1,balanced_subsample,accuracy,0.740818133690717,0.9315849486887116,0.8836944127708096,0.9156214367160777,0.9204104903078678,0.005487438729995842,0.9163055872291904,0.0031927023945268096,0.9156214367160777,0.9828995740515096,0.9219096945551128,0.9135788004707304,0.9149311563427396,0.08642119952926963,2200,2300,9998.241206699053,10101.503107099794
e11a5936,uncertainty,300,75,24,0.1,42,800,25.0,2,2,balanced_subsample,accuracy,0.7429127317150642,0.9338654503990876,0.8825541619156214,0.9156214367160777,0.9226909920182441,0.004136455449764403,0.9220068415051312,0.0034283458103472613,0.9156214367160777,0.9860915841326376,0.9209741340030306,0.9137402234927776,0.9149997904398668,0.08625977650722239,2025,2100,14376.318199095083,14502.226751000157
ed666fbe,uncertainty,350,120,18,0.1,1337,900,24.0,2,1,balanced_subsample,accuracy,0.7313442573373163,0.919042189281642,0.8768529076396807,0.9133409350057012,0.9095781071835802,0.005251347292893762,0.9124287343215507,0.0037749020198967432,0.9133409350057012,0.9833656179377428,0.9195803452855246,0.9112954457879006,0.9126319984060568,0.08870455421209944,2390,2510,7816.162049197359,7874.702452400001
a90b2053,uncertainty,350,120,18,0.1,42,900,24.0,2,1,balanced_subsample,accuracy,0.7366421698449742,0.9236031927023944,0.8916761687571265,0.9110604332953248,0.9184720638540478,0.0035052283121868606,0.9165336374002282,0.0034884968165971642,0.9110604332953248,0.9844773539121652,0.9198951198630136,0.9086085335499526,0.9101349434057444,0.09139146645004737,2390,2510,7702.321639101487,7762.128920499934
664c9bf3,uncertainty,400,100,16,0.1,42,1200,,2,1,balanced_subsample,accuracy,0.7313939154770073,0.919042189281642,0.8916761687571265,0.9133409350057012,0.9111744583808438,0.007397583390334614,0.9144811858608894,0.00607658499177845,0.9133409350057012,0.985328730173608,0.920073726541555,0.9112147342768768,0.9125953357602208,0.08878526572312317,1900,2000,7908.094601608813,7994.756275999825
1232f0bc,uncertainty,400,80,22,0.1,1337,1100,,2,2,balanced,accuracy,0.7456152279190305,0.9395667046750285,0.8939566704675028,0.9224629418472065,0.9236031927023944,0.006245411146010991,0.920866590649943,0.0019880952992203634,0.9224629418472065,0.9842326157819644,0.9294039108047152,0.920348153008196,0.921795826732829,0.07965184699180405,2080,2160,11270.570923198946,11390.392826100113
defbfcad,uncertainty,400,80,22,0.1,42,1100,,2,2,balanced,accuracy,0.7323618929662065,0.92018244013683,0.8962371721778791,0.9099201824401368,0.9119726339794754,0.006605586480255531,0.9140250855188142,0.004362856663559672,0.9099201824401368,0.9827017006696452,0.9163282338057218,0.907830058008144,0.9091643296636158,0.09216994199185602,2080,2160,10642.904362394707,10759.316638800085
b89e37a5,uncertainty,500,50,20,0.1,42,1000,20.0,2,2,balanced_subsample,accuracy,0.7385779026960694,0.927023945267959,0.9064994298745724,0.919042189281642,0.92018244013683,0.004944009894795652,0.919042189281642,0.0064097921653616,0.919042189281642,0.983982670457504,0.9261631001809858,0.9168827652284396,0.9183281851509368,0.08311723477156041,1450,1500,7001.737849194091,7095.057380499784
